10
8.704355
1 2 3
223 273 17
182 454 24
360 191 9
201 260 36
459 163 21
237 99 23
73 30 15
313 446 21
241 131 24
187 262 35
263 282 17
286 268 21
408 45 23
6 308 26
475 357 21
457 148 23
206 294 23
255 83 26
126 59 17
172 470 23
110 456 26
42 53 12
78 360 15
99 109 10
487 270 29
66 0 29
430 33 32
488 249 34
464 267 33
1 231 37
423 353 36
67 430 17
464 280 39
319 9 40
481 113 40
111 488 50
496 432 43
469 77 21
79 315 30
423 5 45
464 164 33
368 388 39
403 33 21
141 295 28
335 98 26
71 261 27
197 188 41
71 16 20
207 74 42
216 136 31
420 418 26
181 277 16
61 229 21
181 273 30
252 413 35
108 13 43
266 314 15
194 335 39
467 403 34
215 305 42
199 72 36
145 321 49
498 404 32
233 432 55
153 107 41
343 173 43
366 488 71
198 123 27
12 295 35
159 434 37
57 302 36
263 74 47
246 299 21
90 248 35
258 262 33
53 171 38
415 178 24
391 117 43
319 326 38
56 323 41
353 174 23
104 328 46
393 99 55
461 164 43
410 305 23
338 92 27
158 316 25
328 166 32
58 384 41
278 370 36
277 482 29
125 456 26
312 205 30
175 26 35
296 138 24
307 106 20
285 106 20
64 191 31
332 385 19
200 486 29
121 120 21
365 435 36
71 449 31
432 158 29
448 456 24
212 101 30
219 257 24
365 113 31
234 320 50
496 331 48
202 224 36
47 338 42
203 161 48
303 331 55
8 404 33
396 95 28
366 472 25
76 466 49
340 291 36
25 374 38
398 272 23
265 424 29
255 246 33
58 352 36
189 57 20
179 278 66
470 75 42
431 160 19
81 233 52
221 210 50
180 178 41
367 442 30
185 33 46
282 445 26
422 129 44
378 259 44
315 119 44
31 493 42
334 357 48
185 361 45
87 150 48
371 5 39
19 484 33
3 476 31
414 398 44
140 481 45
388 183 40
220 317 68
379 75 73
499 432 52
306 195 39
442 20 61
386 91 20
143 270 39
245 311 30
26 411 47
115 284 20
237 235 26
107 475 31
441 45 47
378 22 18
130 371 53
49 19 71
356 165 63
31 497 50
209 276 52
423 397 86
227 111 72
460 221 62
499 460 81
477 437 62
427 62 63
24 341 79
309 366 53
390 416 55
105 143 77
15 218 86
206 346 58
413 82 69
287 225 78
14 382 42
260 41 60
63 96 64
221 414 67
304 433 87

500
1066.79487
15 106 1
338 1 1
312 495 1
308 174 1
83 380 1
192 207 1
455 362 1
479 179 1
399 93 1
146 395 1
81 328 1
475 105 1
471 375 1
135 343 1
88 163 1
474 305 1
5 453 1
299 107 1
249 102 1
282 433 1
459 64 1
329 384 1
441 247 1
437 371 1
182 88 1
344 410 1
237 311 1
387 123 1
347 192 1
354 457 1
258 51 1
234 107 1
478 239 1
352 254 1
245 164 1
374 107 1
223 151 1
57 293 1
332 443 1
261 448 1
4 456 1
396 161 1
261 292 1
481 91 1
427 433 1
51 403 1
28 453 1
388 418 1
275 358 1
59 169 1
131 469 1
55 27 1
452 312 1
211 13 1
280 483 1
115 210 1
352 143 1
480 233 1
149 88 1
51 184 1
287 338 1
79 441 1
360 5 1
26 304 1
128 21 1
54 195 1
191 401 1
176 120 1
356 45 1
336 354 1
355 297 1
190 305 1
329 156 1
89 131 1
27 185 1
428 4 1
51 459 1
96 287 1
385 290 1
79 209 1
194 337 1
243 50 1
362 487 1
426 126 1
382 275 1
24 287 1
80 226 1
307 7 1
356 451 1
143 187 1
325 211 1
153 246 1
47 2 1
65 268 1
227 453 1
16 268 1
122 473 1
418 355 1
267 77 1
411 20 1
185 390 1
311 481 1
350 107 1
300 396 1
224 362 1
92 327 1
262 72 1
108 357 1
121 450 1
284 174 1
397 416 1
460 380 1
140 227 1
242 475 1
222 273 1
29 185 1
251 201 1
482 89 1
311 418 1
11 273 1
375 105 1
24 134 1
129 258 1
343 168 1
314 37 1
264 36 1
249 442 1
103 312 1
451 117 1
461 114 1
486 17 1
31 26 1
259 399 1
103 425 1
239 388 1
465 256 1
113 395 1
357 468 1
24 267 1
183 488 1
416 148 1
151 99 1
10 44 1
277 492 1
403 128 1
483 19 1
383 117 1
172 384 1
126 296 1
269 440 1
251 152 1
98 485 1
484 305 1
140 271 1
89 340 1
290 476 1
496 107 1
166 398 1
306 73 1
178 149 1
390 370 1
84 40 1
480 490 1
67 189 1
48 115 1
107 315 1
371 320 1
357 177 1
374 386 1
250 62 1
430 104 1
128 50 1
66 296 1
207 363 1
226 99 1
459 4 1
246 187 1
303 256 1
160 214 1
279 405 1
358 490 1
405 176 1
207 369 1
286 123 1
184 271 1
130 90 1
362 450 1
131 81 1
348 211 1
34 211 1
58 214 2
78 309 1
239 467 1
89 360 2
248 335 2
413 360 1
107 114 1
124 86 1
324 469 2
334 226 1
469 11 1
257 330 1
312 140 2
60 262 2
350 96 1
61 98 1
387 115 1
474 72 1
217 288 1
126 162 1
491 480 1
261 253 1
88 263 1
446 7 1
326 265 2
398 384 1
355 306 1
220 15 2
405 433 1
132 200 3
462 449 1
217 227 1
26 363 1
287 376 1
328 344 1
147 498 1
33 364 1
245 105 1
399 168 1
71 39 1
390 444 2
444 485 1
111 397 1
293 70 1
212 306 1
449 305 1
163 186 1
308 186 1
427 462 1
269 27 1
251 281 1
250 300 1
218 60 1
380 68 1
126 188 1
346 326 1
18 83 1
140 137 1
119 390 1
65 261 1
307 176 1
175 11 2
183 70 2
141 79 1
281 147 1
422 199 1
493 117 1
358 150 1
449 47 1
331 402 2
378 196 2
370 232 1
114 255 1
126 87 1
255 200 1
194 439 1
329 270 1
400 403 1
137 72 2
57 281 2
179 494 1
151 269 1
414 37 1
7 255 1
34 305 2
97 158 1
423 42 1
331 416 1
391 348 1
254 3 1
98 357 1
471 371 1
143 96 1
65 279 1
158 380 1
341 310 1
30 370 1
273 55 1
41 114 1
246 454 1
454 252 2
300 389 1
251 473 1
464 362 1
279 84 2
4 431 1
30 392 2
146 149 2
389 306 1
85 165 1
450 389 1
270 481 1
311 410 1
189 199 1
448 332 1
296 236 1
244 169 1
174 258 2
123 20 1
160 65 1
115 491 1
404 180 1
435 202 2
151 272 1
213 108 1
177 15 2
164 3 2
73 66 2
455 159 1
214 447 2
35 374 1
120 67 2
85 433 2
475 196 2
136 341 2
425 491 2
126 168 3
335 173 1
361 412 1
417 131 1
345 60 4
296 225 2
388 278 2
422 385 3
157 62 2
263 313 3
173 143 2
417 117 2
247 149 2
140 109 1
37 80 1
161 8 1
331 257 2
92 305 2
493 152 1
151 116 1
215 337 1
169 261 1
408 458 2
98 402 2
265 419 3
376 477 1
418 298 1
151 369 2
195 294 2
136 312 3
71 443 2
381 460 1
230 318 1
120 337 2
4 100 3
372 327 2
431 339 1
221 22 1
5 406 2
198 438 3
227 195 2
79 230 1
414 63 1
44 24 2
257 231 2
109 435 1
463 314 1
386 130 2
313 420 2
258 483 2
52 157 1
216 358 3
229 350 1
336 409 1
138 388 2
407 213 3
322 321 1
198 467 2
256 82 2
455 14 2
393 49 2
366 429 1
41 424 1
368 309 1
330 429 2
365 309 1
186 489 1
458 8 2
56 265 3
342 441 2
351 337 2
336 369 3
442 441 1
83 92 2
327 0 2
356 415 1
133 225 1
179 39 2
470 23 1
352 124 2
323 439 2
346 393 2
118 242 2
374 365 2
412 308 3
41 353 3
407 49 2
46 11 1
433 193 2
373 275 2
303 259 2
174 434 3
316 370 1
291 444 2
235 285 3
264 375 2
260 459 1
131 321 2
191 331 2
139 106 2
157 6 3
241 180 2
246 240 2
472 326 2
303 430 1
377 445 2
44 145 3
38 364 2
276 404 2
367 159 1
275 285 2
276 76 2
304 76 2
121 53 2
168 94 1
294 101 3
436 268 3
112 132 3
359 383 2
274 249 3
25 417 3
383 32 1
75 324 3
173 333 4
402 499 3
14 295 3
127 106 2
459 486 3
204 127 2
23 341 2
443 74 4
394 227 2
183 142 5
1 379 2
465 203 4
456 110 3
221 36 4
466 267 1
262 421 2
435 497 3
362 167 4
423 402 6
445 287 3
182 43 4
155 193 3
0 302 4
144 142 4
458 283 4
349 213 4
381 95 3
432 460 3
432 69 1
317 238 3
24 197 4
38 266 2
12 445 1
14 33 2
379 206 3
301 298 4
125 108 2
156 9 2
238 461 4
266 228 4
277 202 3
358 319 2
171 168 3
154 330 5
270 181 5
170 112 2
219 120 2
208 200 6
65 205 5
289 274 6

500
6798.906329
156 293 1
310 420 1
112 266 1
284 356 1
160 170 1
446 472 1
113 480 1
220 431 1
234 232 1
19 346 1
409 322 1
73 352 1
464 468 1
215 348 1
117 263 1
60 108 1
262 391 1
271 287 1
85 467 1
123 248 1
376 356 1
266 263 1
317 331 1
249 484 1
226 263 1
368 148 1
419 209 1
351 230 1
432 461 1
290 89 1
142 91 1
491 404 1
16 38 1
165 96 1
440 376 1
18 442 1
321 375 1
91 429 1
31 460 1
320 71 1
324 109 1
258 389 1
21 271 1
381 409 1
71 484 1
63 398 1
29 292 1
101 133 1
5 291 1
6 420 1
317 342 1
30 65 1
84 305 1
228 333 1
184 288 1
288 305 1
186 276 1
308 431 1
255 160 1
288 339 1
497 481 1
138 429 1
45 283 1
496 488 1
14 426 1
364 347 1
483 465 1
350 305 1
214 26 1
300 163 1
464 314 1
409 444 1
8 493 1
281 481 1
437 270 1
46 19 1
197 112 1
401 496 1
295 455 1
188 147 1
246 314 1
84 474 1
429 399 1
272 243 1
31 186 1
154 361 1
168 29 1
185 144 1
402 274 1
427 92 1
49 455 1
405 63 1
30 40 1
73 278 1
167 213 1
358 421 1
371 165 1
244 105 1
18 255 1
443 372 1
47 80 1
474 456 1
428 180 1
489 7 1
139 384 1
433 130 1
495 28 1
13 316 1
258 190 1
357 493 1
94 429 1
230 411 1
289 326 1
18 282 1
43 111 1
293 337 1
428 458 1
235 181 1
438 279 1
440 53 1
476 202 1
335 411 1
332 475 1
108 466 1
234 390 1
58 467 1
115 263 1
242 24 1
22 295 1
195 470 1
274 477 1
387 89 1
309 66 1
147 65 1
52 376 1
427 233 1
348 87 1
194 75 1
499 190 1
307 171 1
227 307 1
143 334 1
445 151 1
270 243 1
324 88 1
316 70 1
182 129 1
124 256 1
367 243 1
86 276 1
97 151 1
109 236 1
98 209 1
194 159 1
22 456 1
465 370 1
472 257 1
396 252 1
125 265 1
401 415 1
443 422 1
464 492 1
88 405 1
67 252 1
376 469 1
420 336 1
4 214 1
177 493 1
66 445 1
379 102 1
159 205 1
417 25 1
221 223 1
482 186 1
428 248 1
262 424 1
160 221 1
41 474 1
473 90 1
1 103 1
291 176 1
417 104 1
307 182 1
337 163 1
317 42 1
91 139 1
27 308 1
153 482 1
288 450 1
127 226 1
102 66 1
200 93 1
166 409 1
464 150 1
480 160 1
406 425 1
395 191 1
6 129 1
201 60 1
19 304 1
336 175 1
367 115 1
21 365 1
302 306 1
62 270 1
290 426 1
427 433 1
405 166 1
93 179 1
64 157 1
384 34 1
495 223 1
120 30 1
88 442 1
305 124 1
352 93 1
129 27 1
257 285 1
254 85 1
390 303 1
462 3 1
61 57 1
136 68 1
28 158 1
361 498 1
99 391 1
237 202 1
363 0 1
190 395 1
183 158 1
254 150 1
292 493 1
342 234 1
201 474 1
497 418 1
151 202 1
72 457 1
161 439 1
233 387 1
476 384 1
131 28 1
80 116 1
443 82 1
221 372 1
158 476 1
476 60 1
208 177 1
161 370 1
186 374 1
256 403 1
207 473 1
137 241 1
498 394 1
424 364 1
314 188 1
447 127 1
274 220 1
39 135 1
217 341 1
150 341 1
173 206 1
145 320 1
426 271 1
96 73 1
103 247 1
274 204 1
313 267 1
199 216 1
176 118 1
151 463 1
332 336 1
21 260 1
74 12 1
115 269 1
283 375 1
17 249 1
122 347 1
113 396 1
250 196 1
291 192 1
100 183 1
57 460 1
186 291 1
399 402 1
13 401 1
287 451 1
246 177 1
356 489 1
312 158 1
472 354 1
468 452 1
359 337 1
405 87 1
19 62 1
306 263 1
455 335 1
237 127 1
405 487 1
224 353 1
96 57 1
42 403 1
248 306 1
459 263 1
431 187 1
454 379 1
227 483 1
44 477 1
189 21 1
257 411 1
458 17 1
121 314 1
53 123 1
157 174 1
77 151 1
372 211 1
443 338 1
106 431 1
300 120 1
311 279 1
459 333 1
380 276 1
363 183 1
291 144 1
414 60 1
243 116 1
491 472 1
271 213 1
147 235 1
351 293 1
329 449 1
71 432 1
339 412 1
193 406 1
296 67 1
378 354 1
460 23 1
392 183 1
133 93 1
154 227 1
279 335 1
184 199 1
13 155 1
221 364 1
362 312 1
441 231 1
19 386 1
177 479 1
161 355 1
487 321 1
72 217 1
374 280 1
24 258 1
238 315 1
149 205 1
73 245 1
15 113 1
80 315 1
488 362 1
288 209 1
366 110 1
230 435 1
10 448 1
261 70 1
306 369 1
212 262 1
107 127 1
423 164 1
290 96 1
240 125 1
45 229 1
413 362 1
253 389 1
335 241 1
112 126 1
89 174 1
86 82 1
78 450 1
194 361 1
16 407 1
467 397 1
74 236 1
289 403 1
19 430 1
209 143 1
42 90 1
494 168 1
281 476 1
148 262 1
480 251 1
33 1 1
370 330 1
107 25 1
426 1 2
324 486 1
159 277 2
294 402 1
267 156 1
152 300 1
379 470 1
242 300 1
488 407 1
385 491 1
56 434 1
111 270 2
128 213 1
175 360 1
356 169 2
299 43 1
81 363 2
89 471 2
0 344 2
400 440 3
485 408 1
283 193 1
491 172 2
110 142 1
366 162 1
203 464 1
48 482 1
141 455 1
105 291 1
358 236 1
466 388 1
174 2 1
1 328 1
92 259 1
35 248 1
55 124 1
268 165 1
301 6 1
173 474 1
51 409 1
200 343 1
56 336 1
490 227 1
478 204 2
148 210 1
42 318 2
214 36 2
94 125 1
198 86 2
225 51 1
453 272 2
430 50 2
178 490 1
16 218 1
196 411 1
353 432 1
342 297 2
439 119 1
54 428 1
462 336 1
410 1 2
172 114 2
416 232 1
452 231 1
310 214 2
96 140 1
299 273 1
393 12 1
349 260 1
136 243 1
449 44 2
11 289 1
58 423 1
342 222 1
95 275 1
59 488 1
93 39 1
146 406 1
434 83 2
323 450 1
319 122 1
420 340 1
32 412 1
264 59 3
32 69 4
10 332 1
95 200 1
243 132 2
219 99 3
49 79 2
239 268 1
436 229 1
325 23 1
9 376 1
377 76 2
382 400 2
204 327 1
342 408 2
76 330 1
383 486 2
37 329 1
18 345 3
202 134 2
454 20 2
226 298 3
192 373 2
324 286 2

